parentjobid;parentjobname;jobid;parent_job_id;jobname;jobcommandtype;jobprogress;jobpriority;jobstate;id;taskindex;externalid;taskname;taskstate;command_line;command_exe;command_args
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;31;22;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_21;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_22_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_22_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;32;23;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_22;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_23_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_23_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;33;24;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_23;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_24_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_24_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;34;25;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_24;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_25_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_25_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;35;26;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_25;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_26_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_26_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;36;27;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_26;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_27_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_27_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;37;28;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_27;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_28_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_28_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;38;29;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_28;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_29_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_29_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;39;30;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_29;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_30_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_30_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;40;31;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_30;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_31_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_31_1.xml
